,event,sys_clock,logical_clock,code,queue_length,msg,process
0,SENT to 3056,1,1,1,1,,1
1,RECEIVE MESSAGE,2,2,-1,0,1.0,1
2,SENT to 2056,3,3,0,0,,1
3,RECEIVE MESSAGE,4,4,-1,0,3.0,1
4,SENT to 2056,5,5,2,0,,1
5,SENT to 3056,5,5,2,0,,1
6,RECEIVE MESSAGE,6,6,-1,0,5.0,1
7,SENT to 3056,7,7,1,0,,1
8,SENT to 2056,8,8,2,0,,1
9,SENT to 3056,8,8,2,0,,1
10,INTERNAL EVENT,9,9,3,0,,1
11,SENT to 2056,10,10,0,0,,1
12,RECEIVE MESSAGE,11,11,-1,0,10.0,1
13,INTERNAL EVENT,12,12,3,0,,1
14,SENT to 2056,13,13,0,0,,1
15,SENT to 3056,14,14,1,0,,1
16,RECEIVE MESSAGE,15,15,-1,0,14.0,1
17,SENT to 2056,16,16,0,0,,1
18,RECEIVE MESSAGE,17,17,-1,1,16.0,1
19,RECEIVE MESSAGE,18,18,-1,0,16.0,1
20,SENT to 3056,19,19,1,0,,1
21,RECEIVE MESSAGE,20,20,-1,0,19.0,1
22,RECEIVE MESSAGE,21,21,-1,0,20.0,1
23,INTERNAL EVENT,22,22,3,0,,1
24,RECEIVE MESSAGE,23,23,-1,1,22.0,1
25,RECEIVE MESSAGE,24,24,-1,1,22.0,1
26,RECEIVE MESSAGE,25,25,-1,1,23.0,1
27,RECEIVE MESSAGE,26,26,-1,0,24.0,1
28,SENT to 2056,27,27,0,0,,1
29,RECEIVE MESSAGE,28,28,-1,0,27.0,1
30,RECEIVE MESSAGE,29,29,-1,0,28.0,1
31,RECEIVE MESSAGE,30,30,-1,0,29.0,1
32,SENT to 3056,31,31,2,0,,1
33,SENT to 2056,31,31,2,0,,1
34,RECEIVE MESSAGE,32,32,-1,0,31.0,1
35,INTERNAL EVENT,33,33,3,0,,1
36,RECEIVE MESSAGE,34,34,-1,0,33.0,1
37,SENT to 3056,35,35,2,0,,1
38,SENT to 2056,35,35,2,0,,1
39,SENT to 2056,36,36,0,0,,1
40,SENT to 2056,37,37,0,0,,1
41,RECEIVE MESSAGE,38,38,-1,0,37.0,1
42,RECEIVE MESSAGE,39,39,-1,0,38.0,1
43,RECEIVE MESSAGE,40,40,-1,0,39.0,1
44,INTERNAL EVENT,41,41,3,0,,1
